year,market,plant_id,capacity,quantity,investment,post_1990,population,market_capacity,market_quantity,n_plants,market_population,competitors_capacity
1996,0,3,770,676,-7,1,11030256,3344,2921,5,11030256,2574
1996,0,4,942,826,135,1,11030256,3344,2921,5,11030256,2402
1997,0,0,435,372,75,1,11207218,3401,2977,5,11207218,2966
1997,0,1,665,597,-1,1,11207218,3401,2977,5,11207218,2736
1997,0,2,599,514,-7,1,11207218,3401,2977,5,11207218,2802
1997,0,3,775,689,5,1,11207218,3401,2977,5,11207218,2626
1997,0,4,927,805,-73,1,11207218,3401,2977,5,11207218,2474
1998,0,0,433,386,-2,1,11387018,3329,2913,5,11387018,2896
1998,0,1,664,566,-1,1,11387018,3329,2913,5,11387018,2665
1998,0,2,518,445,-81,1,11387018,3329,2913,5,11387018,2811
1998,0,3,783,694,8,1,11387018,3329,2913,5,11387018,2546
1998,0,4,931,822,4,1,11387018,3329,2913,5,11387018,2398
1980,1,5,1399,1223,0,0,13906121,4270,3744,5,13906121,2871
1980,1,6,398,356,0,0,13906121,4270,3744,5,13906121,3872
1980,1,7,398,348,0,0,13906121,4270,3744,5,13906121,3872
1980,1,8,1242,1094,0,0,13906121,4270,3744,5,13906121,3028
1980,1,9,833,723,0,0,13906121,4270,3744,5,13906121,3437
1981,1,5,1389,1206,-10,0,14117625,4369,3804,5,14117625,2980
1981,1,6,396,346,-1,0,14117625,4369,3804,5,14117625,3973
1981,1,7,508,443,110,0,14117625,4369,3804,5,14117625,3861
1981,1,8,1241,1099,-1,0,14117625,4369,3804,5,14117625,3128
1981,1,9,835,710,2,0,14117625,4369,3804,5,14117625,3534
1982,1,5,1388,1196,0,0,14332346,4372,3778,5,14332346,2984
1982,1,6,400,353,4,0,14332346,4372,3778,5,14332346,3972
1982,1,7,505,433,-2,0,14332346,4372,3778,5,14332346,3867
1982,1,8,1243,1057,1,0,14332346,4372,3778,5,14332346,3129
1982,1,9,836,739,1,0,14332346,4372,3778,5,14332346,3536
1983,1,5,1384,1195,-4,0,14550332,4382,3844,5,14550332,2998
1983,1,6,391,349,-10,0,14550332,4382,3844,5,14550332,3991
1983,1,7,506,440,1,0,14550332,4382,3844,5,14550332,3876
1983,1,8,1261,1116,18,0,14550332,4382,3844,5,14550332,3121
1983,1,9,840,744,5,0,14550332,4382,3844,5,14550332,3542
1984,1,5,1382,1219,-3,0,14771634,4373,3826,5,14771634,2991
1984,1,6,415,361,24,0,14771634,4373,3826,5,14771634,3958
1984,1,7,500,432,-6,0,14771634,4373,3826,5,14771634,3873
1984,1,8,1239,1098,-22,0,14771634,4373,3826,5,14771634,3134
1984,1,9,837,716,-4,0,14771634,4373,3826,5,14771634,3536
1985,1,5,1380,1188,-2,0,14996302,4380,3798,5,14996302,3000
1985,1,6,417,367,3,0,14996302,4380,3798,5,14996302,3963
1985,1,7,490,433,-10,0,14996302,4380,3798,5,14996302,3890
1985,1,8,1253,1087,14,0,14996302,4380,3798,5,14996302,3127
1985,1,9,840,723,3,0,14996302,4380,3798,5,14996302,3540
1986,1,5,1363,1215,-17,0,15224387,4358,3847,5,15224387,2995
1986,1,6,409,359,-8,0,15224387,4358,3847,5,15224387,3949
1986,1,7,485,414,-5,0,15224387,4358,3847,5,15224387,3873
1986,1,8,1249,1100,-5,0,15224387,4358,3847,5,15224387,3109
1986,1,9,852,759,12,0,15224387,4358,3847,5,15224387,3506
1987,1,5,1351,1158,-12,0,15455940,4354,3778,5,15455940,3003
1987,1,6,415,360,5,0,15455940,4354,3778,5,15455940,3939
1987,1,7,480,427,-5,0,15455940,4354,3778,5,15455940,3874
1987,1,8,1263,1081,14,0,15455940,4354,3778,5,15455940,3091
1987,1,9,845,752,-8,0,15455940,4354,3778,5,15455940,3509
1988,1,5,1335,1163,-16,0,15691016,4387,3806,5,15691016,3052
1988,1,6,416,368,1,0,15691016,4387,3806,5,15691016,3971
1988,1,7,480,429,0,0,15691016,4387,3806,5,15691016,3907
1988,1,8,1254,1069,-8,0,15691016,4387,3806,5,15691016,3133
1988,1,9,902,777,57,0,15691016,4387,3806,5,15691016,3485
1989,1,5,1356,1186,21,0,15929667,4530,3952,5,15929667,3174
1989,1,6,421,378,6,0,15929667,4530,3952,5,15929667,4109
1989,1,7,483,431,3,0,15929667,4530,3952,5,15929667,4047
1989,1,8,1265,1092,11,0,15929667,4530,3952,5,15929667,3265
1989,1,9,1005,865,103,0,15929667,4530,3952,5,15929667,3525
1990,1,5,1381,1231,25,1,16171948,4542,3977,5,16171948,3161
1990,1,6,422,367,1,1,16171948,4542,3977,5,16171948,4120
1990,1,7,483,426,0,1,16171948,4542,3977,5,16171948,4059
1990,1,8,1259,1098,-6,1,16171948,4542,3977,5,16171948,3283
1990,1,9,997,855,-8,1,16171948,4542,3977,5,16171948,3545
1991,1,5,1384,1203,3,1,16417913,4487,3953,5,16417913,3103
1991,1,6,413,369,-10,1,16417913,4487,3953,5,16417913,4074
1991,1,7,483,422,-1,1,16417913,4487,3953,5,16417913,4004
1991,1,8,1218,1081,-42,1,16417913,4487,3953,5,16417913,3269
1991,1,9,989,878,-9,1,16417913,4487,3953,5,16417913,3498
1992,1,5,1401,1231,17,1,16667620,4503,3940,5,16667620,3102
1992,1,6,417,364,4,1,16667620,4503,3940,5,16667620,4086
1992,1,7,491,441,8,1,16667620,4503,3940,5,16667620,4012
1992,1,8,1212,1050,-6,1,16667620,4503,3940,5,16667620,3291
1992,1,9,982,854,-6,1,16667620,4503,3940,5,16667620,3521
1993,1,5,1473,1276,72,1,16921124,4466,3858,5,16921124,2993
1993,1,6,418,357,1,1,16921124,4466,3858,5,16921124,4048
1993,1,7,377,336,-114,1,16921124,4466,3858,5,16921124,4089
1993,1,8,1209,1031,-3,1,16921124,4466,3858,5,16921124,3257
1993,1,9,989,858,7,1,16921124,4466,3858,5,16921124,3477
1994,1,5,1476,1285,3,1,17178485,4429,3870,5,17178485,2953
1994,1,6,413,352,-5,1,17178485,4429,3870,5,17178485,4016
1994,1,7,375,328,-2,1,17178485,4429,3870,5,17178485,4054
1994,1,8,1190,1030,-18,1,17178485,4429,3870,5,17178485,3239
1994,1,9,975,875,-14,1,17178485,4429,3870,5,17178485,3454
1995,1,5,1490,1326,14,1,17439759,4451,3972,5,17439759,2961
1995,1,6,407,361,-6,1,17439759,4451,3972,5,17439759,4044
1995,1,7,375,329,1,1,17439759,4451,3972,5,17439759,4076
1995,1,8,1197,1076,7,1,17439759,4451,3972,5,17439759,3254
1995,1,9,982,880,6,1,17439759,4451,3972,5,17439759,3469
1996,1,5,1527,1335,38,1,17705007,4495,3945,5,17705007,2968
1996,1,6,415,371,8,1,17705007,4495,3945,5,17705007,4080
1996,1,7,372,317,-3,1,17705007,4495,3945,5,17705007,4123
1996,1,8,1194,1057,-3,1,17705007,4495,3945,5,17705007,3301
1996,1,9,987,865,5,1,17705007,4495,3945,5,17705007,3508
1997,1,5,1549,1364,22,1,17974290,4424,3892,5,17974290,2875
1997,1,6,315,270,-100,1,17974290,4424,3892,5,17974290,4109
1997,1,7,377,334,5,1,17974290,4424,3892,5,17974290,4047
1997,1,8,1190,1061,-4,1,17974290,4424,3892,5,17974290,3234
1997,1,9,993,863,6,1,17974290,4424,3892,5,17974290,3431
1998,1,5,1568,1354,19,1,18247668,4504,3943,5,18247668,2936
1998,1,6,318,282,3,1,18247668,4504,3943,5,18247668,4186
1998,1,7,380,336,3,1,18247668,4504,3943,5,18247668,4124
1998,1,8,1249,1110,58,1,18247668,4504,3943,5,18247668,3255
1998,1,9,989,861,-4,1,18247668,4504,3943,5,18247668,3515
1980,2,10,537,477,0,0,11379767,1363,1200,3,11379767,826
1980,2,11,346,301,0,0,11379767,1363,1200,3,11379767,1017
1980,2,12,480,422,0,0,11379767,1363,1200,3,11379767,883
1981,2,10,528,463,-9,0,11545471,1349,1195,3,11545471,821
1981,2,11,345,308,-1,0,11545471,1349,1195,3,11545471,1004
1981,2,12,476,424,-5,0,11545471,1349,1195,3,11545471,873
1982,2,10,522,451,-7,0,11713589,1347,1178,3,11713589,825
1982,2,11,340,291,-5,0,11713589,1347,1178,3,11713589,1007
1982,2,12,485,436,9,0,11713589,1347,1178,3,11713589,862
1983,2,10,521,448,0,0,11884154,1341,1171,3,11884154,820
1983,2,11,334,292,-6,0,11884154,1341,1171,3,11884154,1007
1983,2,12,486,431,1,0,11884154,1341,1171,3,11884154,855
1984,2,10,452,404,-69,0,12057203,1272,1115,3,12057203,820
1984,2,11,329,292,-5,0,12057203,1272,1115,3,12057203,943
1984,2,12,491,419,5,0,12057203,1272,1115,3,12057203,781
1985,2,10,450,400,-2,0,12232772,1276,1122,3,12232772,826
1985,2,11,334,292,5,0,12232772,1276,1122,3,12232772,942
1985,2,12,492,430,1,0,12232772,1276,1122,3,12232772,784
1986,2,10,456,408,6,0,12410898,1292,1140,3,12410898,836
1986,2,11,332,286,-2,0,12410898,1292,1140,3,12410898,960
1986,2,12,504,446,12,0,12410898,1292,1140,3,12410898,788
1987,2,10,458,393,3,0,12591617,1288,1131,3,12591617,830
1987,2,11,331,290,-1,0,12591617,1288,1131,3,12591617,957
1987,2,12,499,448,-4,0,12591617,1288,1131,3,12591617,789
1988,2,10,448,391,-10,0,12774968,1283,1125,3,12774968,835
1988,2,11,332,286,2,0,12774968,1283,1125,3,12774968,951
1988,2,12,503,448,3,0,12774968,1283,1125,3,12774968,780
1989,2,10,449,395,1,0,12960989,1279,1130,3,12960989,830
1989,2,11,329,284,-3,0,12960989,1279,1130,3,12960989,950
1989,2,12,501,451,-2,0,12960989,1279,1130,3,12960989,778
1990,2,10,456,408,7,1,13149718,1286,1148,3,13149718,830
1990,2,11,330,295,1,1,13149718,1286,1148,3,13149718,956
1990,2,12,500,445,-1,1,13149718,1286,1148,3,13149718,786
1991,2,10,453,391,-3,1,13341196,1288,1122,3,13341196,835
1991,2,11,336,295,6,1,13341196,1288,1122,3,13341196,952
1991,2,12,499,436,-1,1,13341196,1288,1122,3,13341196,789
1992,2,10,426,366,-27,1,13535461,1199,1038,3,13535461,773
1992,2,11,336,290,0,1,13535461,1199,1038,3,13535461,863
1992,2,12,437,382,-62,1,13535461,1199,1038,3,13535461,762
1993,2,10,422,364,-4,1,13732556,1200,1052,3,13732556,778
1993,2,11,339,303,4,1,13732556,1200,1052,3,13732556,861
1993,2,12,439,385,1,1,13732556,1200,1052,3,13732556,761
1994,2,10,421,378,-1,1,13932520,1203,1062,3,13932520,782
1994,2,11,338,296,-1,1,13932520,1203,1062,3,13932520,865
1994,2,12,444,388,6,1,13932520,1203,1062,3,13932520,759
1995,2,10,420,360,-1,1,14135396,1198,1042,3,14135396,778
1995,2,11,339,292,1,1,14135396,1198,1042,3,14135396,859
1995,2,12,439,390,-6,1,14135396,1198,1042,3,14135396,759
1996,2,10,427,374,7,1,14341227,1200,1035,3,14341227,773
1996,2,11,342,292,2,1,14341227,1200,1035,3,14341227,858
1996,2,12,431,369,-7,1,14341227,1200,1035,3,14341227,769
1997,2,10,429,381,2,1,14550054,1206,1068,3,14550054,777
1997,2,11,348,302,6,1,14550054,1206,1068,3,14550054,858
1997,2,12,429,385,-3,1,14550054,1206,1068,3,14550054,777
1998,2,10,432,377,4,1,14761922,1249,1094,3,14761922,817
1998,2,11,388,345,40,1,14761922,1249,1094,3,14761922,861
1998,2,12,429,372,0,1,14761922,1249,1094,3,14761922,820
1980,3,13,267,234,0,0,2623304,2602,2280,4,2623304,2335
1980,3,14,735,649,0,0,2623304,2602,2280,4,2623304,1867
1980,3,15,719,632,0,0,2623304,2602,2280,4,2623304,1883
1980,3,16,881,765,0,0,2623304,2602,2280,4,2623304,1721
1981,3,13,264,230,-3,0,2651253,2551,2221,4,2651253,2287
1981,3,14,674,603,-61,0,2651253,2551,2221,4,2651253,1877
1981,3,15,712,605,-8,0,2651253,2551,2221,4,2651253,1839
1981,3,16,901,783,20,0,2651253,2551,2221,4,2651253,1650
1982,3,13,265,231,1,0,2679501,2383,2082,4,2679501,2118
1982,3,14,670,597,-4,0,2679501,2383,2082,4,2679501,1713
1982,3,15,644,562,-67,0,2679501,2383,2082,4,2679501,1739
1982,3,16,804,692,-97,0,2679501,2383,2082,4,2679501,1579
1983,3,13,266,234,2,0,2708049,2385,2109,4,2708049,2119
1983,3,14,677,606,7,0,2708049,2385,2109,4,2708049,1708
1983,3,15,644,569,0,0,2708049,2385,2109,4,2708049,1741
1983,3,16,798,700,-6,0,2708049,2385,2109,4,2708049,1587
1984,3,13,265,239,-1,0,2736901,2380,2060,4,2736901,2115
1984,3,14,673,582,-235,0,2736901,2380,2060,4,2736901,1707
1984,3,15,653,559,9,0,2736901,2380,2060,4,2736901,1727
1984,3,16,789,680,-10,0,2736901,2380,2060,4,2736901,1591
1985,3,13,263,229,-3,0,2766060,2386,2070,4,2766060,2123
1985,3,14,683,597,10,0,2766060,2386,2070,4,2766060,1703
1985,3,15,654,558,1,0,2766060,2386,2070,4,2766060,1732
1985,3,16,786,686,-2,0,2766060,2386,2070,4,2766060,1600
1986,3,13,260,231,-3,0,2795531,2237,1954,4,2795531,1977
1986,3,14,547,476,-136,0,2795531,2237,1954,4,2795531,1690
1986,3,15,655,576,2,0,2795531,2237,1954,4,2795531,1582
1986,3,16,775,671,-11,0,2795531,2237,1954,4,2795531,1462
1987,3,13,256,225,-4,0,2825315,2230,1976,4,2825315,1974
1987,3,14,540,475,-6,0,2825315,2230,1976,4,2825315,1690
1987,3,15,652,573,-3,0,2825315,2230,1976,4,2825315,1578
1987,3,16,782,703,6,0,2825315,2230,1976,4,2825315,1448
1988,3,13,255,225,-1,0,2855417,2228,1971,4,2855417,1973
1988,3,14,542,482,1,0,2855417,2228,1971,4,2855417,1686
1988,3,15,653,565,1,0,2855417,2228,1971,4,2855417,1575
1988,3,16,778,699,-3,0,2855417,2228,1971,4,2855417,1450
1989,3,13,257,223,3,0,2885839,2225,1928,4,2885839,1968
1989,3,14,537,459,-5,0,2885839,2225,1928,4,2885839,1688
1989,3,15,652,569,-1,0,2885839,2225,1928,4,2885839,1573
1989,3,16,779,677,1,0,2885839,2225,1928,4,2885839,1446
1990,3,13,258,222,1,1,2916585,2249,1958,4,2916585,1991
1990,3,14,546,477,9,1,2916585,2249,1958,4,2916585,1703
1990,3,15,653,560,1,1,2916585,2249,1958,4,2916585,1596
1990,3,16,792,699,12,1,2916585,2249,1958,4,2916585,1457
1991,3,13,256,220,-2,1,2947659,2181,1882,4,2947659,1925
1991,3,14,540,460,-6,1,2947659,2181,1882,4,2947659,1641
1991,3,15,587,507,-66,1,2947659,2181,1882,4,2947659,1594
1991,3,16,798,695,7,1,2947659,2181,1882,4,2947659,1383
1992,3,13,259,232,3,1,2979064,2181,1917,4,2979064,1922
1992,3,14,554,481,14,1,2979064,2181,1917,4,2979064,1627
1992,3,15,569,502,-18,1,2979064,2181,1917,4,2979064,1612
1992,3,16,799,702,1,1,2979064,2181,1917,4,2979064,1382
1993,3,13,262,234,3,1,3010804,2158,1895,4,3010804,1896
1993,3,14,548,484,-6,1,3010804,2158,1895,4,3010804,1610
1993,3,15,551,486,-18,1,3010804,2158,1895,4,3010804,1607
1993,3,16,797,691,-2,1,3010804,2158,1895,4,3010804,1361
1994,3,13,263,236,0,1,3042882,2194,1927,4,3042882,1931
1994,3,14,585,517,37,1,3042882,2194,1927,4,3042882,1609
1994,3,15,553,487,2,1,3042882,2194,1927,4,3042882,1641
1994,3,16,793,687,-5,1,3042882,2194,1927,4,3042882,1401
1995,3,13,260,227,-3,1,3075301,2193,1923,4,3075301,1933
1995,3,14,589,520,4,1,3075301,2193,1923,4,3075301,1604
1995,3,15,551,492,-2,1,3075301,2193,1923,4,3075301,1642
1995,3,16,793,684,1,1,3075301,2193,1923,4,3075301,1400
1996,3,13,262,233,2,1,3108066,2191,1925,4,3108066,1929
1996,3,14,584,505,-4,1,3108066,2191,1925,4,3108066,1607
1996,3,15,554,479,3,1,3108066,2191,1925,4,3108066,1637
1996,3,16,791,708,-2,1,3108066,2191,1925,4,3108066,1400
1997,3,13,316,274,54,1,3141181,2257,1973,4,3141181,1941
1997,3,14,583,515,-1,1,3141181,2257,1973,4,3141181,1674
1997,3,15,557,479,4,1,3141181,2257,1973,4,3141181,1700
1997,3,16,801,705,11,1,3141181,2257,1973,4,3141181,1456
1998,3,13,317,271,1,1,3174647,2228,1921,4,3174647,1911
1998,3,14,540,460,-43,1,3174647,2228,1921,4,3174647,1688
1998,3,15,557,475,0,1,3174647,2228,1921,4,3174647,1671
1998,3,16,814,715,12,1,3174647,2228,1921,4,3174647,1414
1980,4,17,417,372,0,0,17100620,3391,2982,5,17100620,2974
1980,4,18,465,416,0,0,17100620,3391,2982,5,17100620,2926
1980,4,19,1261,1132,0,0,17100620,3391,2982,5,17100620,2130
1980,4,20,429,365,0,0,17100620,3391,2982,5,17100620,2962
1980,4,21,819,697,0,0,17100620,3391,2982,5,17100620,2572
1981,4,17,418,371,2,0,17353858,3396,2958,5,17353858,2978
1981,4,18,467,411,2,0,17353858,3396,2958,5,17353858,2929
1981,4,19,1245,1074,-16,0,17353858,3396,2958,5,17353858,2151
1981,4,20,453,387,23,0,17353858,3396,2958,5,17353858,2943
1981,4,21,813,715,-6,0,17353858,3396,2958,5,17353858,2583
1982,4,17,421,375,3,0,17610845,3440,3043,5,17610845,3019
1982,4,18,464,415,-3,0,17610845,3440,3043,5,17610845,2976
1982,4,19,1263,1111,18,0,17610845,3440,3043,5,17610845,2177
1982,4,20,453,405,0,0,17610845,3440,3043,5,17610845,2987
1982,4,21,839,737,26,0,17610845,3440,3043,5,17610845,2601
1983,4,17,422,374,1,0,17871638,3439,2986,5,17871638,3017
1983,4,18,468,406,4,0,17871638,3439,2986,5,17871638,2971
1983,4,19,1257,1075,-6,0,17871638,3439,2986,5,17871638,2182
1983,4,20,445,379,-9,0,17871638,3439,2986,5,17871638,2994
1983,4,21,847,752,8,0,17871638,3439,2986,5,17871638,2592
1984,4,17,423,368,1,0,18136294,3508,3080,5,18136294,3085
1984,4,18,623,545,155,0,18136294,3508,3080,5,18136294,2885
1984,4,19,1269,1117,11,0,18136294,3508,3080,5,18136294,2239
1984,4,20,338,295,-106,0,18136294,3508,3080,5,18136294,3170
1984,4,21,855,755,8,0,18136294,3508,3080,5,18136294,2653
1985,4,17,427,379,4,0,18404868,3503,3073,5,18404868,3076
1985,4,18,618,552,-5,0,18404868,3503,3073,5,18404868,2885
1985,4,19,1267,1084,-2,0,18404868,3503,3073,5,18404868,2236
1985,4,20,335,299,-3,0,18404868,3503,3073,5,18404868,3168
1985,4,21,856,759,1,0,18404868,3503,3073,5,18404868,2647
1986,4,17,418,359,-9,0,18677420,3483,3064,5,18677420,3065
1986,4,18,610,540,-8,0,18677420,3483,3064,5,18677420,2873
1986,4,19,1264,1136,-3,0,18677420,3483,3064,5,18677420,2219
1986,4,20,331,295,-5,0,18677420,3483,3064,5,18677420,3152
1986,4,21,860,734,4,0,18677420,3483,3064,5,18677420,2623
1987,4,17,428,375,10,0,18954008,3510,3070,5,18954008,3082
1987,4,18,615,533,5,0,18954008,3510,3070,5,18954008,2895
1987,4,19,1271,1135,7,0,18954008,3510,3070,5,18954008,2239
1987,4,20,335,292,4,0,18954008,3510,3070,5,18954008,3175
1987,4,21,861,735,1,0,18954008,3510,3070,5,18954008,2649
1988,4,17,331,293,-97,0,19234691,3409,2975,5,19234691,3078
1988,4,18,615,533,0,0,19234691,3409,2975,5,19234691,2794
1988,4,19,1276,1095,5,0,19234691,3409,2975,5,19234691,2133
1988,4,20,329,295,-5,0,19234691,3409,2975,5,19234691,3080
1988,4,21,858,759,-2,0,19234691,3409,2975,5,19234691,2551
1989,4,17,330,296,-1,0,19519532,3405,3011,5,19519532,3075
1989,4,18,618,556,2,0,19519532,3405,3011,5,19519532,2787
1989,4,19,1244,1105,-32,0,19519532,3405,3011,5,19519532,2161
1989,4,20,333,292,4,0,19519532,3405,3011,5,19519532,3072
1989,4,21,880,762,22,0,19519532,3405,3011,5,19519532,2525
1990,4,17,196,168,-134,1,19808590,3266,2868,5,19808590,3070
1990,4,18,609,543,-8,1,19808590,3266,2868,5,19808590,2657
1990,4,19,1230,1089,-14,1,19808590,3266,2868,5,19808590,2036
1990,4,20,363,313,30,1,19808590,3266,2868,5,19808590,2903
1990,4,21,868,755,-12,1,19808590,3266,2868,5,19808590,2398
1991,4,17,196,170,0,1,20101929,3348,2946,5,20101929,3152
1991,4,18,609,543,0,1,20101929,3348,2946,5,20101929,2739
1991,4,19,1238,1080,8,1,20101929,3348,2946,5,20101929,2110
1991,4,20,358,322,-5,1,20101929,3348,2946,5,20101929,2990
1991,4,21,947,831,80,1,20101929,3348,2946,5,20101929,2401
1992,4,17,198,169,2,1,20399612,3347,2941,5,20399612,3149
1992,4,18,606,519,-3,1,20399612,3347,2941,5,20399612,2741
1992,4,19,1245,1120,8,1,20399612,3347,2941,5,20399612,2102
1992,4,20,352,301,-6,1,20399612,3347,2941,5,20399612,2995
1992,4,21,946,832,-2,1,20399612,3347,2941,5,20399612,2401
1993,4,17,198,176,0,1,20701703,3370,2969,5,20701703,3172
1993,4,18,618,541,12,1,20701703,3370,2969,5,20701703,2752
1993,4,19,1264,1119,18,1,20701703,3370,2969,5,20701703,2106
1993,4,20,352,306,0,1,20701703,3370,2969,5,20701703,3018
1993,4,21,938,827,-8,1,20701703,3370,2969,5,20701703,2432
1994,4,17,197,172,-1,1,21008268,3367,2911,5,21008268,3170
1994,4,18,616,537,-2,1,21008268,3367,2911,5,21008268,2751
1994,4,19,1261,1094,-3,1,21008268,3367,2911,5,21008268,2106
1994,4,20,348,299,-4,1,21008268,3367,2911,5,21008268,3019
1994,4,21,945,809,8,1,21008268,3367,2911,5,21008268,2422
1995,4,17,196,174,-1,1,21319372,3334,2905,5,21319372,3138
1995,4,18,590,519,-26,1,21319372,3334,2905,5,21319372,2744
1995,4,19,1255,1072,-6,1,21319372,3334,2905,5,21319372,2079
